company_name,jd,job_tag,job_title,salary,skill_cata_tag,url
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in designing and developing highspeed wireless circuit boards that incorporate Tensorcom’s millimeter wave wireless communications chipsets.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Designing and developing highspeed, ultra-low power, millimeter wave circuit boards for chip evaluation, chip testing and customer applications.|||· Reviewing PCB Layouts for any issues with EMI, EMC, and any other spurious noise generators|||· Using a CAD tool to create design documents such as block diagrams, schematics diagrams and PCB layout files.|||· Selecting required parts for the BOM while considering their availability and pricing.|||· Initiating the prototyping effort and managing small production runs with contract manufacturers.|||· Creating a test plan for board and chip bring-up.|||· Providing failure analysis and resolving board level HW issues.|||The interested candidate shall have demonstrable experience and/or knowledge in:|||· Designing circuits for:|||o High speed interface circuits, such as USB, and PCIe.|||o Standard digital interfaces, such as SPI, UART, I2C, etc.|||o Embedded micro controller systems|||o Power supplies such as DC/DC, AC/DC, and linear regulators.|||o RF circuits incorporating PAs, LNAs, Mixers and filters (this requirement is not mandatory but desirable)|||· Laying out PCBs for above mentioned circuit designs.|||· Board assembly and product production processes. Experience in this area is desirable.|||· FCC regulations, CE requirements, UL approval. Experience in this area is desirable.|||· Quality control systems. Experience in this area is desirable.|||■ BS ■ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable degrees|||5+ year",硬體工程師,"Hardware Design Engineer, 硬體設計工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39448-hardware-design-engineer-%E7%A1%AC%E9%AB%94%E8%A8%AD%E8%A8%88%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in defining RF Module test cases, creating RF Module test control scripts, executing RF Module test scripts, accurately recording test results, analyzing the recorded test results, and communicating the test results in concise clearly written report.|||In addition to excellent technical skills, good English communication skills are required.|||The candidate will be responsible for:|||· Conducting RF system (board level) characterizations and verification tests|||· Bringing up and debugging RF modules and test/evaluation boards|||· Creating test specifications, calibration procedures, and test plans|||· Creating automated test scripts for RF testing|||· Analyzing test data and generating a test report|||· Maintenance of RF test equipment and keeping test tools organized|||· Supporting production test|||The candidate shall have demonstrable experience in:|||· Using RF test equipment to measure these items of interest:|||o S-parameters using a VNA|||o TX power levels (e.g., conducted and radiated)|||o RX (receive) sensitivity|||o EVM, BER/FER|||o VCO Phase noise|||o Noise Figure|||· RF system characteristics and test methodology|||· Working with these test equipment interfaces, GPIB, LAN, RS-232, USB, SPI, etc.|||· Using programming/scripting languages such as: C, C++, Python, Java|||■BS □ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable degrees|||0+ work experience. Assumes candidates with degrees have been exposed to various RF test equipment and measurements while fulfilling “hands-on” laboratory requirements.",硬體工程師,"RF Test Engineer Intern, RF測試實習生",20k - 50k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39449-rf-test-engineer-intern-rf%E6%B8%AC%E8%A9%A6%E5%AF%A6%E7%BF%92%E7%94%9F
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets, is looking for a candidate who is interested in working on complex ASIC designs for our next generation 60GHz, IEEE 802.11ad/WiGig compliant SoCs with specific emphasis on developing RTL code for the digital baseband module. The candidate will participate in a range of ASIC development activities such as defining the digital modem architecture, the evaluation of competing efficient, compact signal processing algorithms, the development of RTL code, the taping-out of the chip, and the evaluation of the chip’s performance.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Developing and verifying the Register-Transfer-Level (RTL) code using Verilog / System Verilog|||· Performing block level verification against a cycle-accurate, finite precision, behavioral model|||· Performing block level static timing and power estimation/analysis/optimization|||· Evaluating the digital modem’s performance using an FPGA platform|||· Creating detailed documentation.|||The interested candidate shall have demonstrable experience and/or knowledge in:|||· ASIC flow activities such as:|||o Using front-end ASIC tools to perform simulations, CDC, synthesis, static timing, and power analysis|||o Using Verilog and/or System Verilog proficiently|||· Modem development activities such as:|||o Implementing DSP blocks such as digital filters, time or frequency domain equalizers, channel encoder/decoders and/or signal acquisition|||o Understanding the general concepts of communications and information theory|||o Being familiar with general forms of signal impairments within a wireless channel|||· Verification activities such as:|||o Developing a test bench and test cases|||o Emulating an ASIC on an FPGA development platform|||· SoC system architecture and common interfaces|||Previous work experience with high-speed Wireless Modems is desirable|||■ BS  ■ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable technical degrees.|||5+ years",硬體工程師,"Modem Design Engineer, Modem 設計工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39450-modem-design-engineer-modem-%E8%A8%AD%E8%A8%88%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets, is looking for a candidate who is interested in working on complex, low power, ASIC designs for our next generation WiGig/IEEE 802.11ad compliant SoCs. The interested candidate will participate in a range of ASIC development activities such as defining the SoC architecture, the development of RTL code, the taping-out of the chip, and the evaluation of chip performance.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||The interested candidate shall have demonstrable experience in:|||· ASIC flow activities such as:|||o Using front-end ASIC tools to perform simulations, lint/CDC, synthesis, formal verification, static timing, and power analysis|||o Using Verilog and/or System Verilog proficiently|||· Processor Subsystem:|||o Understanding of ARM/RISC-V processor, memory, bus fabric, and interface IPs|||o Hardware/Software interfacing|||o Processor subsystems bring up|||· Verification activities such as:|||o Developing a testbench and test cases|||o Emulating an ASIC on an FPGA development platform|||· SoC system architecture and common peripheral interfaces such as SPI, I2C, UART, GPIO, and JTAG|||Previous working experience on WLAN SoCs, Ethernet NICs, or Storage SoCs is desirable.|||■ BS  ■ MS ■ PhD|||Electrical or Computer Engineering, Communications Engineering, or similar applicable technical degrees.|||5+ years",硬體工程師,"ASIC Design Engineer, 晶片設計工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39451-asic-design-engineer-%E6%99%B6%E7%89%87%E8%A8%AD%E8%A8%88%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets, is looking for a candidate who is interested in analog circuit layout for our next generation 60GHz, IEEE 802.11ad/ay compliant SoCs.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Setting up the LVS, DRC, ERC environments and debugging verification issues using the Cadence tool suite|||· Collaborating with an interdisciplinary functional team to define and develop the design flow, optimization of the silicon floor plan, and bump and package pinouts.|||· Setting up design rules and implementing in-house packaging layout to meet product requirements.|||· Optimizing package design to maintain signal and power integrity|||· Paying attention to lay out details and providing documentation|||The interested candidate shall have demonstrable experience and/or knowledge in:|||· The proficient use of the IC5 & 6.x Cadence Virtuoso tool suite|||· Layout techniques for device matching, parasitic minimization, RF shielding, and high frequency routing|||· The fundamentals of RC delay, EMI, and Crosstalk|||· IC packaging structures, chip-packaging, and package-board interactions.|||· The details of the semiconductor process and device physics|||· Laying out high speed I/O interfaces such as PCIe3.x, USB3.x, and GigE.|||■ BS / ■ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable technical degrees.|||5+ / 3+ years",硬體工程師,"IC Layout Engineer, 晶片佈局工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39452-ic-layout-engineer-%E6%99%B6%E7%89%87%E4%BD%88%E5%B1%80%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets, is looking for a candidate who is interested in working on complex, low power, ASIC designs for our next generation WiGig/IEEE 802.11ad compliant SoCs. The interested candidate will participate in a range of ASIC development activities such as defining the SoC architecture, the development of RTL code, the taping-out of the chip, and the evaluation of chip performance.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||The interested candidate shall have demonstrable experience in:|||· ASIC flow activities such as:|||o Using front-end ASIC tools to perform simulations, lint/CDC, synthesis, formal verification, static timing, and power analysis|||o Using Verilog and/or System Verilog proficiently|||· Processor Subsystem:|||o Understanding of ARM/RISC-V processor, memory, bus fabric, and interface IPs|||o Hardware/Software interfacing|||o Processor subsystems bring up|||· Verification activities such as:|||o Developing a testbench and test cases|||o Emulating an ASIC on an FPGA development platform|||· SoC system architecture and common peripheral interfaces such as SPI, I2C, UART, GPIO, and JTAG|||Previous working experience on WLAN SoCs, Ethernet NICs, or Storage SoCs is desirable.|||■ BS  ■ MS ■ PhD|||Electrical or Computer Engineering, Communications Engineering, or similar applicable technical degrees.|||5+ years",硬體工程師,ASIC Design Engineer,30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39454-asic-design-engineer
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in designing and developing highspeed wireless circuit boards that incorporate Tensorcom’s millimeter wave wireless communications chipsets.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Designing and developing highspeed, ultra-low power, millimeter wave circuit boards for chip evaluation, chip testing and customer applications.|||· Reviewing PCB Layouts for any issues with EMI, EMC, and any other spurious noise generators|||· Using a CAD tool to create design documents such as block diagrams, schematics diagrams and PCB layout files.|||· Selecting required parts for the BOM while considering their availability and pricing.|||· Initiating the prototyping effort and managing small production runs with contract manufacturers.|||· Creating a test plan for board and chip bring-up.|||· Providing failure analysis and resolving board level HW issues.|||The interested candidate shall have demonstrable experience and/or knowledge in:|||· Designing circuits for:|||o High speed interface circuits, such as USB, and PCIe.|||o Standard digital interfaces, such as SPI, UART, I2C, etc.|||o Embedded micro controller systems|||o Power supplies such as DC/DC, AC/DC, and linear regulators.|||o RF circuits incorporating PAs, LNAs, Mixers and filters (this requirement is not mandatory but desirable)|||· Laying out PCBs for above mentioned circuit designs.|||· Board assembly and product production processes. Experience in this area is desirable.|||· FCC regulations, CE requirements, UL approval. Experience in this area is desirable.|||· Quality control systems. Experience in this area is desirable.|||■ BS ■ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable degrees|||5+ year",硬體工程師,Hardware Design Engineer,30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39455-hardware-design-engineer
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in designing and developing highspeed wireless circuit boards that incorporate Tensorcom’s millimeter wave wireless communications chipsets.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Designing and developing highspeed, ultra-low power, millimeter wave circuit boards for chip evaluation, chip testing and customer applications.|||· Reviewing PCB Layouts for any issues with EMI, EMC, and any other spurious noise generators|||· Using a CAD tool to create design documents such as block diagrams, schematics diagrams and PCB layout files.|||· Selecting required parts for the BOM while considering their availability and pricing.|||· Initiating the prototyping effort and managing small production runs with contract manufacturers.|||· Creating a test plan for board and chip bring-up.|||· Providing failure analysis and resolving board level HW issues.|||The interested candidate shall have demonstrable experience and/or knowledge in:|||· Designing circuits for:|||o High speed interface circuits, such as USB, and PCIe.|||o Standard digital interfaces, such as SPI, UART, I2C, etc.|||o Embedded micro controller systems|||o Power supplies such as DC/DC, AC/DC, and linear regulators.|||o RF circuits incorporating PAs, LNAs, Mixers and filters (this requirement is not mandatory but desirable)|||· Laying out PCBs for above mentioned circuit designs.|||· Board assembly and product production processes. Experience in this area is desirable.|||· FCC regulations, CE requirements, UL approval. Experience in this area is desirable.|||· Quality control systems. Experience in this area is desirable.|||■ BS ■ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable degrees|||5+ year",硬體工程師,"Hardware Design Engineer, 硬體設計工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39456-hardware-design-engineer-%E7%A1%AC%E9%AB%94%E8%A8%AD%E8%A8%88%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in designing and developing highspeed wireless circuit boards that incorporate Tensorcom’s millimeter wave wireless communications chipsets.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Designing and developing highspeed, ultra-low power, millimeter wave circuit boards for chip evaluation, chip testing and customer applications.|||· Reviewing PCB Layouts for any issues with EMI, EMC, and any other spurious noise generators|||· Using a CAD tool to create design documents such as block diagrams, schematics diagrams and PCB layout files.|||· Selecting required parts for the BOM while considering their availability and pricing.|||· Initiating the prototyping effort and managing small production runs with contract manufacturers.|||· Creating a test plan for board and chip bring-up.|||· Providing failure analysis and resolving board level HW issues.|||The interested candidate shall have demonstrable experience and/or knowledge in:|||· Designing circuits for:|||o High speed interface circuits, such as USB, and PCIe.|||o Standard digital interfaces, such as SPI, UART, I2C, etc.|||o Embedded micro controller systems|||o Power supplies such as DC/DC, AC/DC, and linear regulators.|||o RF circuits incorporating PAs, LNAs, Mixers and filters (this requirement is not mandatory but desirable)|||· Laying out PCBs for above mentioned circuit designs.|||· Board assembly and product production processes. Experience in this area is desirable.|||· FCC regulations, CE requirements, UL approval. Experience in this area is desirable.|||· Quality control systems. Experience in this area is desirable.|||■ BS ■ MS|||Electrical or Computer Engineering, Communications Engineering, or similar applicable degrees|||5+ year",硬體工程師,"Hardware Design Engineer, 硬體設計工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39457-hardware-design-engineer-%E7%A1%AC%E9%AB%94%E8%A8%AD%E8%A8%88%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets, is looking for a candidate who is interested in working on complex, low power, ASIC designs for our next generation WiGig/IEEE 802.11ad compliant SoCs. The interested candidate will participate in a range of ASIC development activities such as defining the SoC architecture, the development of RTL code, the taping-out of the chip, and the evaluation of chip performance.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||The interested candidate shall have demonstrable experience in:|||· ASIC flow activities such as:|||o Using front-end ASIC tools to perform simulations, lint/CDC, synthesis, formal verification, static timing, and power analysis|||o Using Verilog and/or System Verilog proficiently|||· Processor Subsystem:|||o Understanding of ARM/RISC-V processor, memory, bus fabric, and interface IPs|||o Hardware/Software interfacing|||o Processor subsystems bring up|||· Verification activities such as:|||o Developing a testbench and test cases|||o Emulating an ASIC on an FPGA development platform|||· SoC system architecture and common peripheral interfaces such as SPI, I2C, UART, GPIO, and JTAG|||Previous working experience on WLAN SoCs, Ethernet NICs, or Storage SoCs is desirable.|||■ BS  ■ MS ■ PhD|||Electrical or Computer Engineering, Communications Engineering, or similar applicable technical degrees.|||5+ years",硬體工程師,"ASIC Design Engineer, 晶片設計工程師",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39458-asic-design-engineer-%E6%99%B6%E7%89%87%E8%A8%AD%E8%A8%88%E5%B7%A5%E7%A8%8B%E5%B8%AB
