company_name,jd,job_tag,job_title,salary,skill_cata_tag,url
智鈦星平台服務有限公司,*負責公司iOS APP開發及更新維護。|||1. 與開發團隊配合執行專案APP之開發、維護及後續優化。|||2. 依照專案規劃，共同討論並評估任務時程。|||3. 跨部門合作開發上所需項目。產品開發與維護，配合團隊解決代碼問題及線上版本更新。|||4. 其他主管交辦任務。|||1. 帶領、訓練同組內部同仁，並適當給予協助。|||2. 統合組內狀況、問題並反饋予相關需求方或單位。|||3. 與PM溝通討論，評估合理性及規劃專案時程。|||4. 達成主管給予團隊之目標。,軟體工程師,【iOS 開發工程師/組長】 iOS Developer Junior/Senior,700k - 1.4m TWD Annually,Objective C|||Swift|||XML|||HTTP|||Socket|||TCP/IP|||ios,https://meet.jobs/zh-TW/jobs/27062-ios-%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB%E7%B5%84%E9%95%B7-ios-developer-juniorsenior
スマカン株式会社,**|||*：|||現正熱烈招攬①高級後端/②中高前端人才/③中高級DevOps運維人才 加入我們的**東京**社內開發團隊。|||。|||**優先考慮人選**|||。|||**|||）**|||- 高級工程師～專家，800w~1200＋w|||- 中級～高級工程師，500w~800+w|||- 初級～中級工程師， 350w~500+w|||若在技術面試被評價為**優秀高級工程師**，|||！|||＊符合項目技術工程師歡迎動動手指投遞您的履歷！應徵時麻煩備註應徵①〜③職缺名稱。|||_______________________________________________________________________|||To b SaaS 人事評價管理系統|||Cloud Native（雲端原生、稼動率99.90%以上、Disaster Recovery災難應對、Serverless、運用Cost最低限）|||_______________________________________________________________________|||_______________________________________________________________________|||①應徵前請務必，點閱|||更一步了解敝司|||②透過平台提供日文履歷表及職務經歷表（若真的無法，則中文履歷表＋職務經歷表也可）|||③本社在東京，因此由專員連繫採視訊方式面試。|||◆|||◆|||應徵＞書類審查（日文履歷表＋職務經歷書＞專人聯絡＞填寫日文履歷書＞安排視訊面談共兩次＞日文＋中文視訊面談＞1-2週內合格通知＞確認薪資＞進行簽證申請＞確認赴日時間,軟體工程師,【日本東京】本社項目開發工程師（零日文可）,3.5m - 12m JPY Annually,JAVA,https://meet.jobs/zh-TW/jobs/36950-%E6%97%A5%E6%9C%AC%E6%9D%B1%E4%BA%AC%E6%9C%AC%E7%A4%BE%E9%A0%85%E7%9B%AE%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB%E9%9B%B6%E6%97%A5%E6%96%87%E5%8F%AF
盈通管理顧問有限公司,"本公司工程師崗位每月皆有ＫＰＩ績效獎金 ,績效獎金最高可達底薪50%|||能力需求：|||1、3-5年以上iOS平台軟體開發經驗，具備良好的coding 規則。|||2、熟悉Swift語言且有良好的Objective-C基礎概念。|||3、熟悉coreAnimation，自定義各種動畫。|||4、紮實的iOS基礎，掌握AutoLayout，記憶體管理，Thread管理，資料存取、Runtime消息派發等技術。|||5、熟練使用UIKit元件與自定義。|||6、對模塊化，組件化，RAC函數式編程有開發者經驗優先。|||7、具備強烈的責任感和進取心，良好的團隊合作精神與協作溝通能力。|||8、有RxSwift-Moya-Promise Kit開發經驗者優先。|||9、有應用優化（性能、記憶體、網路、電量等）經驗者優先。|||工作內容：|||1、負責iOS客戶端的維護，產出高質量的代碼。|||2、根據產品需求，進行合理的功能設計、代碼編寫及自測。|||3、負責客戶端重點技術升級，針對現下新技術的應用",軟體工程師,iOS工程師 / iOS Developer App 研發工程師 ( 台北 ),65k - 120k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39149-ios%E5%B7%A5%E7%A8%8B%E5%B8%AB-ios-developer-app-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB-%E5%8F%B0%E5%8C%97
Splashtop Inc.,"
Splashtop is a SaaS company offering industry-leading remote access / support services, one-to-many video conferencing, and mobile mirroring apps. Our product range covers multiple platforms (Windows, macOS, iOS, Android) and is highly regarded in the IT and education community (see: www.splashtop.com and www.mirroring360.com or look for Splashtop in App Store / Google Play).|||As Salesforce Administrator, you’ll play a vital role at Splashtop. We are looking for a proactive individual that can help us continually improve and enhance our Salesforce platform, gathering requirements and feedback and designing best practice solutions. Our Salesforce user experience is of great importance to us; therefore, the Salesforce Administrator should enjoy all aspects of user management, including support tickets, training, and designing solutions with user satisfaction as a priority.|||We are seeking someone with a strong understanding of the Salesforce platform and a desire to keep learning. The Salesforce Administrator should be comfortable liaising with users and enjoy learning new business processes to translate them into technical solutions.|||· Provide end-user support, including troubleshooting issues and answering questions about Salesforce functionality.|||· Focus on user efficiencies, solving business issues, inventing creative solutions, and ensuring data accuracy across the system.|||· Translate business requirements and user stories into working solutions using appropriate configuration and development approaches.|||· Deliver business requests with the system configuration or work with the development team to design the customization features.|||· Manage the features delivery cycle with the scheduled release window.|||· Documenting processes and composing user communication materials, including error reports, deployment logs, and release notes, etc.|||· Provide user training and training materials for business process.|||· Salesforce ADM-201 Certification is required.|||· Bachelor's degree is required; a major degree in computer science or a related major would be advantageous.|||· Proven work experience as a Salesforce Administrator or similar role.|||· Strong analytical skills, with the ability to identify and troubleshoot complex system issues.|||· Excellent communication, interpersonal, and organizational skills.|||· Strong collaboration skills and the ability to work effectively in a team environment.|||· Excellent English communication skills.",軟體工程師,Salesforce System Administrator,1m - 1.6m TWD Annually,sales force,https://meet.jobs/zh-TW/jobs/29300-salesforce-system-administrator
iOS (iOS 研發工程師),"本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, macOS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App store/Google Play/Chrome Web Store上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||工作內容及經驗需求：|||- 熟悉 Objective-C 及 Xcode 開發平台，有相關工作經驗。|||- 參與產品討論及架構設計。|||- 熟悉網路程式開發，主從式架構及影音串流技術。|||- 與測試人員充份溝通，解釋實作原理並從回饋中撰寫測試代碼。|||- 與客服人員合作解決客戶問題。|||以下條件均對工作及敍薪有加分：|||- 除iOS外，在其它平台有一定經驗，如Windows/macOS/Android/RoR等，對跨部門討論及整體架構設計均有幫助。|||- 了解使用者經驗及互動設計，熟悉iOS系統操作。|||- 有獨自開發產品經驗。|||- 曾在iOS App Store有上架app。",軟體工程師,Application Developer,700k - 1.5m TWD Annually,,https://meet.jobs/zh-TW/jobs/28387-application-developer-ios-ios-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
Splashtop Inc.,"此為因應公司業務量的擴大而擴招的後端工程師職缺，|||也歡迎具備任何後端語言技能且願意了解 Ruby on Rails 的後端工程師申請，|||包括且不限於 Node.js / Go / Python / PHP / ASP.net / Java / Rust|||為了提供安全、快速、穩定的 Remote Desktop 服務給全球 800K+ 的活躍客戶，您將|||Splashtop Inc (美商浪橋科技股份有限公司 台北分公司)|||人員:|||全球 300人 US, EU, JP, SG, TW, CN|||台北 99 人 RD & QA & Sales & Support & PM & DevOps|||Cloud team:|||4 Frontend React Developers|||9 Backend Ruby-on-Rails Developers|||地點:|||捷運台北小巨蛋站旁|||時/事:|||Splashtop 三件事:",軟體工程師,Backend Developer (Ruby on Rails),700k - 1.5m TWD Annually,Ruby on Rails|||RoR|||Backend|||Back-end|||Redis|||MySQL|||Kubernetes|||Docker (Kubernetes)|||AWS/EC2/ELB/S3/DynamoDB,https://meet.jobs/zh-TW/jobs/28780-backend-developer-ruby-on-rails
C/C++ expertise (軟體應用工程師,"
本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, macOS, iOS, Android, Linux），在科技界及教育界均有高知名度（請參考: www.splashtop.com. 在App store/Google Play/Chrome Web Store上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||1. 參與遠端桌面產品開發與架構設計|||2. 與QA緊密合作以確保產品的高品質|||3. 解決客戶線上產品使用問題|||4. 對Windows的新功能進行分析了解, 並用新技術改良原本的實作方式。|||1. 熟悉C++，有MFC與Windows視窗程式設計相關設計經驗．|||2. 設計出的程式必須能在各Windows版本上運行，並有能力獨立偵錯．|||3. 熟悉網路端程式設計包含TCP/IP, Socket, 及SSL等相關經驗．|||4. 熟悉多線程程式設計(Multi-Thread)．|||5. 需與各國客戶/客服接觸，英文程度須有一定水準．|||6. 能適應快節奏開發的軟體流程|||7. 兩年經驗以上為佳|||1. 有video streaming相關經驗|||2. 有影像處理基礎，有使用hardware encode/decode相關經驗|||3. 有Git/SVN相關版本控制工具經驗|||4. 有Linux/Mac相關應用程式設計經驗，可與其他產品開發人員討論程式架構",軟體工程師,Software Application Engineer,700k - 1.1m TWD Annually,,https://meet.jobs/zh-TW/jobs/33758-software-application-engineer-cc-expertise-%E8%BB%9F%E9%AB%94%E6%87%89%E7%94%A8%E5%B7%A5%E7%A8%8B%E5%B8%AB-cc%E5%B0%88%E9%95%B7
Splashtop Inc.,前端工程師將與後端工程師、設計師、產品經理或其他夥伴組成跨職能團隊，針對遠端桌面、遠端連線服務的後台支援系統各項機能，翻新設計、改進用戶體驗，並根據不同產品線的需求完成新功能的實作，包含各類權限管理、批量操作、排程與更新機制，並處理記錄讀寫和視覺化的呈現。|||除了滿足產品面向的需求外，也投入持續性工程，以利後續開發和維護，累積創新能量：|||設定環境，包含硬體軟體方面，能夠了解日常開發所需的知識，以及運用日常溝通所用的工具。|||實作一些粒度較小的元件、功能比較明確的模組，以及可以了解整體程式碼架構的改良或償債計畫。以期能夠往握開發上的脈絡，掌握基本的產品線。|||與其他成員一起協作一個完整性功能的開發，希望前面累積下來的經驗能夠跟設計師、工程師、產品經理，以及其他積極參與的夥伴一起進行產品的發想與定義，並給予建設的回饋。|||了解了產品迭代週期之後，可以獨立處理一個完整功能性的開發，能夠判斷、釐清規格上較為模糊之處，釐清，並決定採用怎麼的技術去克服困難，並在一次次的過程中找到推動事物持續前進的方法。|||了解當代的 JS 標準ESCMAScript 2015之後每年更版帶來的新特性，熟悉babel出現後的 JS 編譯打包方式， 也需要有React.js開發和在其生態系中打滾的經驗，這是因為我們是基於Next.js和Typescript進行開發。|||其他技術選擇如下：|||由於組織架構扁平，我們也注重團隊合作、人際溝通，在互相切磋下，發揮回饋並解決問題的能力。基於這樣的文化脈絡，對於使用新技術的態度為『小幅度實驗，驗證可能性後加以擴展和推廣』，期待能編織出我們自己的最佳實踐。,軟體工程師,Frontend Engineer / React Developer,1000k - 1.8m TWD Annually,JavaScript|||React.js|||HTML5 & CSS3|||Typescript|||TypeScript and ReactJS,https://meet.jobs/zh-TW/jobs/30140-frontend-engineer-react-developer
Linux (Linux 研發工程師),"本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, Mac OS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App Store/Google Play上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||工作內容及經驗需求：|||1. 參與產品討論及架構設計。|||2. 熟悉 C/C++ 及 Linux 開發平台，有二年以上相關工作經驗。|||3. 熟悉 Linux 社群，distribution 間的差異，以及開放原始碼運作的規則。|||4. 熟悉網路程式開發，主從式架構及影音串流技術。|||5. 與測試人員充份溝通，解釋實作原理並從回饋中撰寫測試代碼。|||6. 與客服人員合作解決客戶問題。",軟體工程師,Application Developer,700k - 1.8m TWD Annually,,https://meet.jobs/zh-TW/jobs/28388-application-developer-linux-linux-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
TOP PATH 英屬維京群島商祥捷國際開發股份有限公司台灣分公司,"1、負責遊戲後端功能開發|||2、能根據設計實現遊戲後端功能的開發。|||3、能根據需求實現管理頁面的開發|||1.擅長工具：JavaScript,Node.js|||2.熟悉ES6,ES7規範|||3. 5年以上後端開發經驗|||4.熟悉MongoDB、PostgreSQL等資料庫技術|||5.熟悉版本管理工具 Git|||6.熟悉物件導向設計，具有良好的程式編寫習慣|||7.善於溝通，良好的團隊合作精神|||8.高度責任感，工作細心，能夠承受壓力下工作並保證工作品質",軟體工程師,資深後端開發工程師(百萬年薪) Senior Backend Engineer,1m - 2m TWD Annually,"JavaScript|||,Node Js,",https://meet.jobs/zh-TW/jobs/39295-%E8%B3%87%E6%B7%B1%E5%BE%8C%E7%AB%AF%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB%E7%99%BE%E8%90%AC%E5%B9%B4%E8%96%AA-senior-backend-engineer
