company_name,jd,job_title,salary,skill_cata_tag,url
Meet.Jobs,,Account Manager 客戶經理,420k - 2.1m TWD Annually,Account Management|||Business Development|||english|||mandarin,https://meet.jobs/en/jobs/21440-account-manager-%E5%AE%A2%E6%88%B6%E7%B6%93%E7%90%86
Splashtop Inc.,"
Splashtop, the leading provider of remote desktop and device collaboration solutions, one-to-many video conferencing, and mobile mirroring apps. Our product range covers multiple platforms (Windows, macOS, iOS, Android) and is highly regarded in the IT and education community (see: www.splashtop.com and www.mirroring360.com or look for Splashtop in App Store / Google Play).|||We are hiring a detail-oriented Communications Program Manager to handle all programmatic communications with Prospects and Customers and help increase Customer Satisfaction. The position is available immediately, and the location for this role is at the Splashtop office in Taipei (Taiwan).|||Splashtop provides a large number of “avenues” that customers and prospects can leverage to communicate with the company. Inquiries that are clearly defined as sales leads are being handled by the various sales teams (one in Taipei and one in California), but there are a number of cases where the inquiries are not directly about sales, but instead about feedback or questions. As part of our well-recognized culture of maximum and total responsiveness, the Communications Program Manager role is to systematically follow-up and engage with every non-sales inquiry. Those inquiries will come mostly in the form of emails to Splashtop and the Communications Manager will need to respond to those in a professional and timely fashion.|||The candidate will need to have a minimum of 1 year of experience in a B2B environment where he/she was handling and directly responsible for 50-100 one-to-one communications each day via email. Attention to detail and follow-up management is paramount to being successful in this position.|||1. Triage, monitor and determine how to respond to respondents to NPS surveys and Auto-renewals Turn-offs notifications,|||2. Systematically thank people who enter a review for Splashtop on review sites such as Capterra or G2Crowd, and follow-up with them,|||3. Systematically respond to people who provided feedback on trialing Splashtop products,|||4. Route and escalate internally those communications as needed,|||5. Help with Inbound leads in case of peak activity,|||6. Provide help with maintenance or creation of Accounts and/or leads in Salesforce.|||1. BA/BS Degree required (or equivalent 4 years University degree)|||2. Perfect English mandatory (write, read, speak)|||3. 1 year minimum of work in a high velocity B2B environment with responsibility for first line of communication to the Prospects/Customers|||4. Computer proficiency – Ability to multi-task across tools and platforms (Outlook, Salesforce, etc…) without making mistakes|||1. Salesforce experience",Customer Success Representative,700k+ TWD Annually,Salesforce,https://meet.jobs/en/jobs/33757-customer-success-representative
愛卡拉 iKala,"【Responsibilities】|||1. Write well-thought-out, maintainable code.|||2. Communicate technical decisions through design docs, tech talks, and code reviews.|||3. Participate in our agile processes, working towards, and contributing to, the goals and vision of our roadmap.|||4. Collaborate with product, design, engineers(frontend, backend, data), and business development teams to find innovative solutions to problems.|||【Requirements】|||1. Good knowledge of TypeScript, JavaScript, Browser, CSS, HTML and web standards.|||2. Familiar with React and React ecosystem(e.g. RTKQuery, Redux, redux-observable and others).|||3. Familiar with emotion, css-in-js and customized Material UI components.|||4. Familiar with the concept of RESTful.|||5. Familiar with Git and Git flow.|||【Pluses】|||1. Familiar with the concept of TDD.|||2. Experience in OAuth2, e.g. Firebase Auth or others.|||3. Experience in data visualization tools, ex. ApexCharts, Google Chart, D3.js or others.|||4. Experience in Cloud Build, Gitlab CI/CD pipelines.|||5. Capable of testing across multiple browsers and platforms.|||6. Basic operation under Linux environment.|||more info>>>https://ikala.tv",【CDP team】資深網站前端工程師 Senior Frontend Engineer,1.1m+ TWD Annually,Git|||HTML/CSS|||React|||JavaScript/TypeScript,https://meet.jobs/en/jobs/39250-cdp-team%E8%B3%87%E6%B7%B1%E7%B6%B2%E7%AB%99%E5%89%8D%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%AB-senior-frontend-engineer
智鈦星平台服務有限公司,***負責Java後端開發、更新維護及優化***|||【工作說明】|||1. 依照內部需求參與開發專案，並與團隊共同達成開發時程及目標。|||2. 協同系統平台之架構設計、編程並撰寫相關技術文檔。|||3. 與相關單位合作對接，並對現有伺服器架構進行優化。|||【期望技術】|||1. 具3年以上 Java 後端程式開發經驗。|||2. 熟悉JVM、WEB開發及分布式事務處理、分布式文件及緩存等技術原理。|||3. 對主流開源框架有使用經驗，如Spring、SpringMVC、SpringBoot、Dubbo、Kafka、zookeeper..等|||4. 對開源構架有一定研究者優先。,【Java 後端軟體工程師】Java Backend Engineer,700k - 1.4m TWD Annually,java|||spring,https://meet.jobs/en/jobs/36936-java-%E5%BE%8C%E7%AB%AF%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%ABjava-backend-engineer
End Develope,*負責App/Web前端開發、整合等。|||【工作說明】|||1. PC及移動式前端之開發工作，包括常用PC、手機瀏覽器與APP內嵌頁面等。|||2. 前端架構體系之規劃、設計與後續優化。|||3. 與相關職能團隊討論開發前端組件，並加以應用、創新，以利維護及優化前端頁面呈現與效能。|||4. 通訊軟體外掛小程式開發。|||【期望技術】|||1.3年以上前端開發經驗。|||2. 能熟練使用VUE，React前端開發框架 (若不熟React較無法上手)。|||3. 精通HTML5、CSS3、JavaScript、Nodejs、React native等前端開發技術。|||4. 暸解伺服器端開發語言及熟悉與原生APP交互佳。|||【加分條件】,前端開發工程師 Front,700k - 1.4m TWD Annually,React|||VUE|||HTML5|||CSS3|||JavaScript|||Nodejs|||React native,https://meet.jobs/en/jobs/27074-%E5%89%8D%E7%AB%AF%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB-front-end-develope
imBee Limited,"imBee 是一間提供 IM 整合平台 ( WhatsApp, Line, Wechat ) 服務的香港軟體公司，即時通訊軟體最初是為個人使用而設計的，而非企業。我們正在對即時通訊軟體進行徹底的重新設計，以便使企業更高效地完成任務，節省更多資源，並與客戶建立更好的關係。|||我們發展迅速，客戶有保險和通訊企業等大公司，也有醫療、電子商務、教育和零售領域的中小企業，並且由一些亞洲最優秀的投資者支持。|||加入我們一起改變企業與消費者之間的交流方式|||官方網站 ➡|||商貿報導 ➡|||PCM報導 ➡|||團隊採用 Scrum 敏捷式開發來作為產品管理，每個 sprint 的長度為一～二週 ( 視中間假期長度為準 )，每週二會進行 sprint planning & review ，每天都會進行簡單的 Stand Up meeting ( By Google Meet )。",Frontend Developer,1m - 1.5m TWD Annually,React.js|||TypeScript|||Material-UI|||StyledComponents,https://meet.jobs/en/jobs/39068-frontend-developer
Splashtop Inc.,"We are looking for Senior (3+ years) engineers who have SMART, EASY-GOING, patience, and good TEAMWORK characteristics.|||Splashtop Inc. is a rising star in the remote access/remote support industry.|||Our backend system is hosted on AWS, GCP, and OCI, it serves 500K+ active users and 2M+ online endpoints. The average API is around 2K+ QPS.|||* Kubernetes & containers related. (e.g., On-primse Kubernetes, EKS, Thanos, Rancher, etc.)|||* Security enhancement to Kubernetes environment and CICD flow (aka DevSecOps).|||* IaC tools. (e.g., Terraform 1.0+, Helm 3.0+, etc.)|||* CI/CD flow with tools. (e.g., GitHub Actions, Argo related, Jenkins, Atlantis, etc.)|||* Deep insights monitoring solution. (e.g., Grafana, Prometheus, VictoriaMetrics, Zabbix, etc.)|||* Log analyzer and consolidation in Kubernetes. (e.g., ELK, EFK, fluentbit/fluentd, APM solution, etc.)|||* Load Test and Performance Testing. (e.g., Grafana k6, etc.)",Senior DevOps / SRE,1m - 1.5m TWD Annually,K8S|||EKS|||kubernetes|||Git|||Linux,https://meet.jobs/en/jobs/39258-senior-devops-sre
殷富資訊股份有限公司,,【Free Talk】殷富資訊infotech 快速面試自由交流,0+ TWD Annually,,https://meet.jobs/en/jobs/39094-free-talk%E6%AE%B7%E5%AF%8C%E8%B3%87%E8%A8%8Ainfotech-%E5%BF%AB%E9%80%9F%E9%9D%A2%E8%A9%A6%E8%87%AA%E7%94%B1%E4%BA%A4%E6%B5%81
Splashtop Inc.,"此為因應公司業務量的擴大而擴招的後端工程師職缺，|||也歡迎具備任何後端語言技能且願意了解 Ruby on Rails 的後端工程師申請，|||包括且不限於 Node.js / Go / Python / PHP / ASP.net / Java / Rust|||為了提供安全、快速、穩定的 Remote Desktop 服務給全球 800K+ 的活躍客戶，您將|||Splashtop Inc (美商浪橋科技股份有限公司 台北分公司)|||人員:|||全球 300人 US, EU, JP, SG, TW, CN|||台北 99 人 RD & QA & Sales & Support & PM & DevOps|||Cloud team:|||4 Frontend React Developers|||9 Backend Ruby-on-Rails Developers|||地點:|||捷運台北小巨蛋站旁|||時/事:|||Splashtop 三件事:",Backend Developer (Ruby on Rails),700k - 1.5m TWD Annually,Ruby on Rails|||RoR|||Backend|||Back-end|||Redis|||MySQL|||Kubernetes|||Docker (Kubernetes)|||AWS/EC2/ELB/S3/DynamoDB,https://meet.jobs/en/jobs/28780-backend-developer-ruby-on-rails
Splashtop Inc.,"Splashtop is a SaaS company offering industry-leading remote access / support services, one-to-many video conferencing, and mobile mirroring apps. Our product range covers multiple platforms (Windows, macOS, iOS, Android) and is highly regarded in the IT and education community (see: www.splashtop.com and www.mirroring360.com or look for Splashtop in App Store / Google Play).|||Currently, we would like to find an English-speaking customer service representative whose main task is to assist customers in solving a broad range of technical and market-related topics and to improve customer satisfaction for their success. The details of the job include:|||1. Communicate with customers and recommend them for the right Splashtop service.|||2. Collect/track customer feedback and provide timely solutions.|||3. Analyze reported technical issues, and co-work with internal developers to remedy problems.|||4. Use internal ticket systems to answer email questions.|||5. Use a text chat system and phone calls to answer users' questions.|||6. Provide suggestions for product improvement.|||• Flexible working hours|||• Leave policies superior to statutory requirements. (The first year 10 days paid annual leaves)|||• 1-day paid birthday leave|||• Height adjustable office workstations for employees|||• English course, workplace massage, and refreshments are provided|||• Labor Insurance, National Health Insurance, and group insurance|||• Annual health checkup|||• Travel allowance|||• Cash gift for employees’ birthday|||• Year-end banquet and Christmas party|||• Employee gathering lunch once per month|||• Employee club activity subsidy",Customer Support Specialist (EU region/Night shift),700k+ TWD Annually,english|||english writing,https://meet.jobs/en/jobs/23319-customer-support-specialist-eu-regionnight-shift
iOS (iOS 研發工程師),"本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, macOS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App store/Google Play/Chrome Web Store上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||工作內容及經驗需求：|||- 熟悉 Objective-C 及 Xcode 開發平台，有相關工作經驗。|||- 參與產品討論及架構設計。|||- 熟悉網路程式開發，主從式架構及影音串流技術。|||- 與測試人員充份溝通，解釋實作原理並從回饋中撰寫測試代碼。|||- 與客服人員合作解決客戶問題。|||以下條件均對工作及敍薪有加分：|||- 除iOS外，在其它平台有一定經驗，如Windows/macOS/Android/RoR等，對跨部門討論及整體架構設計均有幫助。|||- 了解使用者經驗及互動設計，熟悉iOS系統操作。|||- 有獨自開發產品經驗。|||- 曾在iOS App Store有上架app。",Application Developer,700k - 1.5m TWD Annually,,https://meet.jobs/en/jobs/28387-application-developer-ios-ios-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
C/C++ expertise (軟體應用工程師,"
本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, macOS, iOS, Android, Linux），在科技界及教育界均有高知名度（請參考: www.splashtop.com. 在App store/Google Play/Chrome Web Store上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||1. 參與遠端桌面產品開發與架構設計|||2. 與QA緊密合作以確保產品的高品質|||3. 解決客戶線上產品使用問題|||4. 對Windows的新功能進行分析了解, 並用新技術改良原本的實作方式。|||1. 熟悉C++，有MFC與Windows視窗程式設計相關設計經驗．|||2. 設計出的程式必須能在各Windows版本上運行，並有能力獨立偵錯．|||3. 熟悉網路端程式設計包含TCP/IP, Socket, 及SSL等相關經驗．|||4. 熟悉多線程程式設計(Multi-Thread)．|||5. 需與各國客戶/客服接觸，英文程度須有一定水準．|||6. 能適應快節奏開發的軟體流程|||7. 兩年經驗以上為佳|||1. 有video streaming相關經驗|||2. 有影像處理基礎，有使用hardware encode/decode相關經驗|||3. 有Git/SVN相關版本控制工具經驗|||4. 有Linux/Mac相關應用程式設計經驗，可與其他產品開發人員討論程式架構",Software Application Engineer,700k - 1.1m TWD Annually,,https://meet.jobs/en/jobs/33758-software-application-engineer-cc-expertise-%E8%BB%9F%E9%AB%94%E6%87%89%E7%94%A8%E5%B7%A5%E7%A8%8B%E5%B8%AB-cc%E5%B0%88%E9%95%B7
Splashtop Inc.,"Splashtop is a SaaS company offering industry-leading remote access / support services, one-to-many video conferencing, and mobile mirroring apps. Our product range covers multiple platforms (Windows, macOS, iOS, Android) and is highly regarded in the IT and education community (see:|||and|||or look for Splashtop in App Store / Google Play).|||The successful candidate will be having a passionate on keeping company’s environment secure against cyberattacks and transfer Splashtop to a security-driven company.",IT Security Engineer,900k - 1.4m TWD Annually,Windows|||Mac OS|||Linux (plus),https://meet.jobs/en/jobs/36739-it-security-engineer
Splashtop Inc.,"As a versatile Design Engineer, you will take on the responsibilties for leveraging our frontend techstack to facilitatenew product blueprinting, collabrate proofs of concept and conduct the UX-driven initiatives. Furthurmore, you'll face up to interdisciplinary challenges and break through those barriers in collaboration with designers, developers, product owners and other active partners.|||It's an onsite job for Taiwan citizens and those who have legal residency status.|||Non-Taiwan citizen candidates must possess a valid Alien Residence Certificate (ARC) issued by Taiwan authority. Splashtop Taiwan Branch does not sponsor work visa/permit currently.",Design Engineer / UX Developer,840k - 1.8m TWD Annually,React.js|||Typescript|||User Experience (UX) Design,https://meet.jobs/en/jobs/30093-design-engineer-ux-developer
Splashtop Inc.,"
本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, Mac OS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App Store/Google Play上請搜尋”Splashtop”）。 ",Software QA Engineer (軟體測試工程師),700k+ TWD Annually,QA Engineering|||SASS,https://meet.jobs/en/jobs/32029-software-qa-engineer-%E8%BB%9F%E9%AB%94%E6%B8%AC%E8%A9%A6%E5%B7%A5%E7%A8%8B%E5%B8%AB
Splashtop Inc.,"▲ About Splashtop|||Splashtop is a SaaS company offering industry-leading remote access / support services, one-to-many video conferencing, and mobile mirroring apps. Our product range covers multiple platforms (Windows, macOS, iOS, Android) and is highly regarded in the IT and education community (see: www.splashtop.com and www.mirroring360.com or look for Splashtop in App Store / Google Play).|||▲ What will you do in this role?|||This is a key role to help the company achieve its sales targets and ambitious growth plans for the next 3-5 years. The candidate will have a strategic contribution to the efficiency of the various sales teams (pre-sales and customer success). The candidate will need to have a minimum of 2 years of experience implementing Salesforce in one or several SaaS companies. Experience with other business systems that influence sales (marketing tools like Marketo/Act-On, chat tools like Acquire/Drift, sales productivity tools like Outreach/Salesloft, targeting tools like Linkedin Salesforce Navigator) are preferred.|||The role is a complex blend of systems architecture/integration skills (60%) and business data quality expertise (40%).|||The successful candidate will bring a strong skillset in defining and documenting business requirements, including those that pertain to current state and future state of Splashtop Sales and Business.|||▲|||▲|||▲",Salesforce Architect / Developer,700k - 1.5m TWD Annually,salesforce,https://meet.jobs/en/jobs/27839-salesforce-architect-developer
